i,j
76,78
100,78
103,78
104,78
106,78
107,78
122,78
124,78
73,77
84,77
87,77
89,77
95,77
96,77
102,77
106,77
114,77
116,77
74,76
85,76
88,76
92,76
97,76
98,76
99,76
100,76
103,76
108,76
115,76
89,75
97,75
103,75
95,74
98,74
113,74
117,74
88,73
96,73
111,73
79,72
82,72
91,71
92,71
98,71
103,71
104,71
105,71
89,70
120,70
91,64
91,62
