a,b
4.310825120276303e-12,2.154982647737985e-12
7.053933225153187e-12,3.5262631339434252e-12
1.1486174492716748e-11,5.741941746666989e-12
1.8611784636637814e-11,9.304036191758152e-12
3.0010553300597206e-11,1.5002283740904272e-11
4.815405793281119e-11,2.407222663134304e-11
7.68891897953136e-11,3.8436926849148805e-11
1.2217223874991234e-10,6.10739353129891e-11
1.9317688458863318e-10,9.656917704096183e-11
3.039584950753702e-10,1.519489341933663e-10
4.759384658868567e-10,2.379217682835333e-10
7.415931329103313e-10,3.707226084367304e-10
1.1498999073273968e-9,5.748352757968592e-10
1.7743317700619662e-9,8.869889334709741e-10
2.7245272951550934e-9,1.3619919343820218e-9
4.163227512447071e-9,2.081198563520891e-9
6.330717391945045e-9,3.1647273426160747e-9
9.579893655603908e-9,4.788991438761594e-9
1.4426289471764707e-8,7.2117060227452484e-9
2.161902225616077e-8,1.0807355094029344e-8
3.2240828780599924e-8,1.611719905873403e-8
4.7848290544100586e-8,2.3919373430730422e-8
7.066723733304071e-8,3.532657112439852e-8
1.0386343458748622e-7,5.192135914252909e-8
1.5191532800694574e-7,7.594251370591652e-8
2.2112425227572072e-7,1.1054007373365037e-7
3.2030859497848523e-7,1.6012235357293445e-7
4.617425110558832e-7,2.308252066102406e-7
6.62417588758946e-7,3.3114273242438314e-7
9.457281341268694e-7,4.727697509544061e-7
1.3437083353846597e-6,6.717201615892124e-7
1.8999834368636052e-6,9.498022358114623e-7
2.6736381990830265e-6,1.3365524614424776e-6
3.744255388777719e-6,1.8717542851745874e-6
5.218435842633016e-6,2.608697494202063e-6
7.238180707993345e-6,3.618368500626566e-6
9.991596536448583e-6,4.994801820646709e-6
1.3726475435282185e-5,6.861868795953119e-6
1.8767405504262918e-5,9.381831105725001e-6
2.5537180725692942e-5,1.2766043576476587e-5
3.4583402978957154e-5,1.728825253635109e-5
4.661129959910779e-5,2.3301001321565012e-5
6.252391434705038e-5,3.1255721753313336e-5
8.347096287883223e-5,4.1727157000127995e-5
0.00011090776924607718,5.544282395044266e-5
0.0001466658093102341,7.331827788452356e-5
0.00019303647003575557,9.64989837678648e-5
0.00025286967835723824,0.00012640962084864313
0.00032968904582417993,0.00016481164349688653
0.00042782510007496725,0.00021386988365448432
0.0005525680147768591,0.0002762289005736412
0.0007103409888320757,0.00035509965312906266
0.0009088950464580285,0.00045435688043093725
0.0011575255165390491,0.0005786473199116268
0.0014673097892364806,0.0007335085619195856
0.0018513651309391762,0.0009254979314830961
0.0023251243613990054,0.0011623302993851359
0.00290662606251283,0.0014530231576122615
0.0036168147085468613,0.001808046654535231
0.004479844704592277,0.0022394755838154906
0.005523380826950916,0.0027611395746355385
0.0067788860213337625,0.003388766962096463
0.008281885989913307,0.004140117054357235
0.010072198555995289,0.005035094792096373
0.01219411451563111,0.006095841156282078
0.014696515657589037,0.0073467921663878675
0.01763291495086662,0.008814698970140946
0.021061403657767343,0.010528601405334872
0.025044490422329604,0.012519747560091516
0.029648818291208065,0.014821452311522845
0.03494474721427373,0.01746888861766758
0.04100579189100279,0.020498806496748376
0.047907907894275986,0.02394917616026538
0.05572862280066812,0.027858753664792082
0.06454601353339035,0.03226656968543461
0.07443753618836481,0.03721134454556878
0.08547872013199773,0.042730835395962424
0.097741743957912,0.04886112433515952
0.11129391676036027,0.055635859197647
0.12619609388595354,0.06308546158771404
0.14250106160414633,0.07123631937578906
0.16025192972279145,0.08010998316651917
0.17948057480396218,0.08972238806193727
0.20020617906103413,0.10008312325571658
0.2224339110271526,0.11119477249897931
0.24615379351056976,0.12305234819086262
0.2713398020864293,0.13564284071431684
